image_path,filename,class_name,class_idx
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1.jpg,AnnualCrop_1.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_10.jpg,AnnualCrop_10.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_100.jpg,AnnualCrop_100.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1000.jpg,AnnualCrop_1000.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1001.jpg,AnnualCrop_1001.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1002.jpg,AnnualCrop_1002.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1003.jpg,AnnualCrop_1003.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1004.jpg,AnnualCrop_1004.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1005.jpg,AnnualCrop_1005.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1006.jpg,AnnualCrop_1006.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1007.jpg,AnnualCrop_1007.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1008.jpg,AnnualCrop_1008.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1009.jpg,AnnualCrop_1009.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_101.jpg,AnnualCrop_101.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1010.jpg,AnnualCrop_1010.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1011.jpg,AnnualCrop_1011.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1012.jpg,AnnualCrop_1012.jpg,AnnualCrop,0
/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_1013.jpg,AnnualCrop_1013.jpg,AnnualCrop,0
