baseline_x,baseline_y,resnet_x,resnet_y,class_idx,class_name
16.366667,6.0735064,13.993865,7.350606,0,AnnualCrop
18.105303,5.15485,13.429363,8.082997,0,AnnualCrop
17.192812,5.4374924,13.711942,8.078664,0,AnnualCrop
9.701452,4.454254,12.938415,6.8689303,0,AnnualCrop
17.39878,6.397134,13.407645,7.960455,0,AnnualCrop
18.280884,5.5696135,13.317513,8.298765,0,AnnualCrop
17.180826,4.4753075,13.460241,7.7600884,0,AnnualCrop
17.554493,6.609582,12.47157,8.301982,0,AnnualCrop
9.777532,4.8946385,13.825727,7.1828985,0,AnnualCrop
16.136618,5.175182,13.1491585,7.4692335,0,AnnualCrop
17.592716,5.5289965,12.837779,7.5898924,0,AnnualCrop
17.818003,5.1879497,13.315543,8.607301,0,AnnualCrop
17.605597,5.4979973,13.2778845,8.030253,0,AnnualCrop
18.231018,6.017247,13.412983,7.6849113,0,AnnualCrop
16.74407,5.602672,13.808726,8.003732,0,AnnualCrop
16.756186,6.224035,13.080371,7.678063,0,AnnualCrop
15.96124,6.0599127,13.820614,7.2479296,0,AnnualCrop
16.973513,5.664996,13.549766,7.7882795,0,AnnualCrop
10.634552,2.9528553,13.738529,7.1190267,0,AnnualCrop
17.000898,6.8464365,12.829005,7.520227,0,AnnualCrop
16.280537,6.237269,13.185563,7.2877846,0,AnnualCrop
18.312555,5.095256,12.929356,8.625228,0,AnnualCrop
16.250404,5.6497545,12.92874,7.4496183,0,AnnualCrop
18.672527,5.6324883,12.673013,8.673896,0,AnnualCrop
16.906054,6.258573,13.247152,8.03481,0,AnnualCrop
18.138054,6.3451424,12.741845,8.350426,0,AnnualCrop
15.168858,7.3105636,13.085054,8.337705,0,AnnualCrop
16.20561,5.6974688,13.210258,7.9772344,0,AnnualCrop
17.355825,6.743632,12.922128,8.698381,0,AnnualCrop
17.39379,4.773045,13.266174,8.819536,0,AnnualCrop
15.505102,4.9864855,13.123515,7.0263557,0,AnnualCrop
17.152662,5.0643954,12.941708,8.652196,0,AnnualCrop
10.36758,2.4591348,15.226095,0.56910473,0,AnnualCrop
16.68626,4.133447,13.931846,7.413205,0,AnnualCrop
17.511806,6.8009205,13.879006,7.9977865,0,AnnualCrop
16.24696,5.2477174,13.897327,7.827501,0,AnnualCrop
17.772602,5.416614,13.481312,7.900862,0,AnnualCrop
17.028004,5.1403184,13.78283,7.748193,0,AnnualCrop
17.921097,6.0091834,13.501746,7.8489404,0,AnnualCrop
15.963194,5.5413866,13.721518,7.5165076,0,AnnualCrop
18.128828,6.168534,12.341119,8.161557,0,AnnualCrop
16.826223,5.128978,13.179545,7.970865,0,AnnualCrop
16.760479,6.3028216,12.227738,6.993846,0,AnnualCrop
16.92702,6.220445,12.296126,8.239756,0,AnnualCrop
15.759815,4.490033,13.376386,7.514945,0,AnnualCrop
17.839882,5.4295144,13.409395,8.468505,0,AnnualCrop
15.89499,5.1555047,13.026555,7.883437,0,AnnualCrop
15.285253,3.8427398,13.833342,7.477521,0,AnnualCrop
16.587992,5.8080463,13.581771,7.520895,0,AnnualCrop
14.151455,7.415621,12.752803,7.604867,0,AnnualCrop
